Time (ms),Device,Android Version,AP MAC Address,Status,Distance (mm),Std Dev (mm),Attempted Measurements,Successful Measurements,Real Distance (mm)
0,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2692,631,8,7,1000
59,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,4794,78,8,7,1000
197,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2443,416,8,7,1000
305,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2817,637,8,7,1000
414,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2573,319,8,7,1000
511,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2868,627,8,7,1000
617,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3088,716,8,7,1000
726,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2319,85,8,7,1000
846,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2924,659,8,7,1000
955,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3000,604,8,7,1000
1076,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2846,781,8,7,1000
1190,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2514,227,8,7,1000
1307,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2871,516,8,7,1000
1427,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2856,575,8,7,1000
1542,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2514,524,8,7,1000
1656,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3315,207,8,7,1000
1781,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2553,592,8,7,1000
1888,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2817,441,8,7,1000
2013,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2861,572,8,7,1000
2123,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2885,192,8,7,1000
2243,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2890,474,8,7,1000
2357,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2202,84,8,7,1000
2475,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2885,83,8,7,1000
2590,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3000,647,8,7,1000
2715,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2573,194,8,7,1000
2824,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2934,179,8,7,1000
2945,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2585,557,8,7,1000
3057,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2737,542,8,7,1000
3174,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2929,659,8,7,1000
3300,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2641,787,8,7,1000
3412,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2571,691,8,7,1000
3522,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2759,469,8,7,1000
3633,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3178,678,8,7,1000
3746,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2568,669,8,7,1000
3866,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,4165,146,8,7,1000
3986,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2517,343,8,7,1000
4099,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2927,562,8,7,1000
4209,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2981,699,8,7,1000
4318,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2876,299,8,7,1000
4429,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2876,458,8,7,1000
4543,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3340,776,8,7,1000
4651,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2622,535,8,7,1000
4768,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2619,476,8,7,1000
4886,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3171,505,8,7,1000
5001,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2802,718,8,4,1000
5124,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2810,487,8,7,1000
