Time (ms),Device,Android Version,AP MAC Address,Status,Distance (mm),Std Dev (mm),Attempted Measurements,Successful Measurements,Real Distance (mm)
0,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2929,654,8,7,1000
473,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3393,753,8,7,1000
1005,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3437,738,8,7,1000
1502,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2563,518,8,7,1000
2009,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2990,541,8,7,1000
2517,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3193,697,8,7,1000
3025,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2886,556,8,7,1000
3531,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2881,526,8,7,1000
4037,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2983,433,8,7,1000
4546,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2859,520,8,7,1000
5053,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2878,514,8,7,1000
5561,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2981,612,8,7,1000
6073,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3091,709,8,7,1000
6578,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3193,616,8,7,1000
7085,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3178,694,8,7,1000
7598,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3266,604,8,7,1000
8102,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3076,490,8,7,1000
8606,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2812,601,8,7,1000
9114,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3222,751,8,7,1000
9627,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3225,590,8,7,1000
10135,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2973,504,8,7,1000
10642,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3032,538,8,7,1000
11155,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2954,541,8,7,1000
11663,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2805,579,8,7,1000
12152,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2980,588,8,7,1000
12694,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2895,663,8,5,1000
13197,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2878,498,8,7,1000
13692,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3064,637,8,7,1000
14203,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2851,456,8,7,1000
14710,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3281,689,8,6,1000
15217,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3112,622,8,7,1000
15719,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3071,525,8,7,1000
16231,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3286,444,8,7,1000
16745,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3137,612,8,7,1000
17248,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2827,473,8,7,1000
17754,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3137,607,8,7,1000
18267,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2902,498,8,7,1000
