Time (ms),Device,Android Version,AP MAC Address,Status,Distance (mm),Std Dev (mm),Attempted Measurements,Successful Measurements,Real Distance (mm),Orientation
0,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1216,204,8,7,500,1
59,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2268,616,8,7,500,1
186,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2458,612,8,7,500,1
292,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2195,381,8,7,500,1
398,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2685,612,8,7,500,1
509,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2568,661,8,7,500,1
614,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2368,160,8,7,500,1
726,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2839,566,8,7,500,1
846,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1841,76,8,7,500,1
968,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2363,220,8,7,500,1
1088,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2563,156,8,7,500,1
1199,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2146,432,8,7,500,1
1315,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2348,251,8,7,500,1
1442,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2729,601,8,7,500,1
1553,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2556,602,8,7,500,1
1664,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2094,145,8,7,500,1
1765,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2553,203,8,7,500,1
1874,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2260,451,8,7,500,1
1981,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2607,724,8,7,500,1
2109,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1816,131,8,7,500,1
2220,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1987,263,8,7,500,1
2342,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2446,88,8,7,500,1
2456,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2270,164,8,7,500,1
2574,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2270,491,8,7,500,1
2692,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2319,256,8,7,500,1
2808,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2378,497,8,7,500,1
2927,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1977,270,8,7,500,1
3033,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2861,688,8,7,500,1
3158,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1958,85,8,7,500,1
3275,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2380,620,8,7,500,1
3391,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2575,608,8,7,500,1
3511,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2058,397,8,7,500,1
3631,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2241,236,8,7,500,1
3748,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2133,192,8,7,500,1
3862,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2277,388,8,7,500,1
3979,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1987,236,8,7,500,1
4100,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2634,710,8,7,500,1
4214,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2495,708,8,7,500,1
4323,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2163,177,8,7,500,1
4438,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2180,468,8,7,500,1
